sourceId,eventType,eventTime,currentAggregateRate
19,SOURCE_OFF,41.520281731852215,15.0
14,SOURCE_OFF,41.629119310726225,14.0
11,SOURCE_OFF,41.82175551846147,13.0
8,SOURCE_OFF,41.926130250294506,12.0
7,SOURCE_OFF,42.27457815194864,11.0
6,SOURCE_ON,42.60508356668074,12.0
14,SOURCE_ON,42.68833711645495,13.0
15,SOURCE_OFF,42.74836766032046,12.0
16,SOURCE_OFF,42.99612465336866,11.0
1,SOURCE_ON,43.03256777953626,12.0
11,SOURCE_ON,43.063391617608886,13.0
8,SOURCE_ON,43.34013355118319,14.0
7,SOURCE_ON,43.36782601229191,15.0
18,SOURCE_OFF,43.37278795255368,14.0
15,SOURCE_ON,43.7816411739286,15.0
0,SOURCE_ON,43.844999684353354,16.0
12,SOURCE_OFF,43.882394439557814,15.0
14,SOURCE_OFF,43.98039085399584,14.0
16,SOURCE_ON,44.11225869714951,15.0
19,SOURCE_ON,44.24063837216677,16.0
11,SOURCE_OFF,44.62828687679225,15.0
1,SOURCE_OFF,44.64157453134354,14.0
18,SOURCE_ON,44.81144908709783,15.0
6,SOURCE_OFF,44.8814423389185,14.0
0,SOURCE_OFF,44.956459409406314,13.0
7,SOURCE_OFF,45.03728014380331,12.0
19,SOURCE_OFF,45.568287092854824,11.0
1,SOURCE_ON,45.698912114120034,12.0
10,SOURCE_OFF,45.75997279760085,11.0
14,SOURCE_ON,45.845390821698174,12.0
11,SOURCE_ON,45.914904981001804,13.0
15,SOURCE_OFF,45.930573839431915,12.0
16,SOURCE_OFF,45.93072794023215,11.0
18,SOURCE_OFF,45.98180353146674,10.0
6,SOURCE_ON,46.29030369471824,11.0
0,SOURCE_ON,46.34882356667799,12.0
7,SOURCE_ON,46.42385329776553,13.0
8,SOURCE_OFF,46.4623977854749,12.0
2,SOURCE_OFF,46.5359934361896,11.0
10,SOURCE_ON,46.85347088920554,12.0
3,SOURCE_OFF,46.889676542295895,11.0
1,SOURCE_OFF,47.04048594025199,10.0
16,SOURCE_ON,47.07670680711839,11.0
15,SOURCE_ON,47.20305719335648,12.0
11,SOURCE_OFF,47.25225735419094,11.0
